reef,species,year_month,health_score_mean
reef_himb,P_comp,2015-07-01,2.6875
reef_himb,P_comp,2015-08-01,2.375
reef_himb,P_comp,2015-09-01,1.625
reef_himb,P_comp,2015-10-01,1.78125
reef_himb,P_comp,2015-11-01,2.1875
reef_himb,P_comp,2015-12-01,2.625
reef_himb,P_comp,2016-01-01,2.9375
reef_himb,P_comp,2016-02-01,3
reef_himb,P_comp,2016-03-01,3
reef_himb,P_comp,2016-05-01,3
reef_himb,P_dam,2014-10-01,1
reef_himb,P_dam,2014-11-01,1.3333333333333333
reef_himb,P_dam,2014-12-01,2.2222222222222223
reef_himb,P_dam,2015-01-01,3
reef_himb,P_dam,2015-02-01,3
reef_himb,P_dam,2015-03-01,2.75
reef_himb,P_dam,2015-05-01,2.625
reef_himb,P_dam,2015-06-01,2.625
reef_himb,P_dam,2015-07-01,2.125
reef_himb,P_dam,2015-08-01,1.875
reef_himb,P_dam,2015-09-01,1.25
reef_himb,P_dam,2015-10-01,1
reef_himb,P_dam,2015-11-01,1.25
reef_himb,P_dam,2015-12-01,2
reef_himb,P_dam,2016-01-01,2.25
reef_himb,P_dam,2016-02-01,2.375
reef_himb,P_dam,2016-03-01,2.25
reef_himb,P_dam,2016-05-01,2.375
